Metal;Analyte;Metal_Thickness_nm;Theta_res_deg;FWHM_deg;Sensitivity_Empirical_deg_per_RIU;Chi_Empirical;Q_Empirical;Sensitivity_Theoretical_deg_per_RIU;Chi_Theoretical;Q_Theoretical
Cu;analyte_01;50;6.609.030.143.765.190;16.200.000.000.000.000;101.091.152.957.646;;;;;
Cu;analyte_01;51;6.608.224.605.639.390;15.600.000.000.000.000;10.111.343.258.571.800;;;;;
Cu;analyte_01;52;6.607.504.338.981.290;1.519.999.999.999.990;10.113.630.768.154.600;;;;;
Cu;analyte_01;53;6.606.860.557.683.950;14.699.999.999.999.900;10.115.806.912.246.600;;;;;
Cu;analyte_01;54;6.606.285.363.166.020;14.399.999.999.999.900;10.117.742.433.559.200;;;;;
Cu;analyte_01;55;6.605.772.619.720.010;14.100.000.000.000.100;10.119.997.622.654.800;;;;;
Cu;analyte_02;45;6.603.612.057.856.910;19.799.999.999.999.800;10.096.647.246.516.800;5.099.316.791.170.150;3.335.157.604.978.250;10.099.580.192.604.400;510.079.807.707.298;3.335.157.604.978.250
Cu;analyte_02;46;6.602.206.633.890.630;18.900.000.000.000.000;10.099.200.318.261.300;53.434.922.318.843.000;3.493.231.023.222.550;10.099.580.192.604.400;53.436.932.236.002.300;3.493.231.023.222.550
Cu;analyte_02;47;6.600.948.351.447.410;17.999.999.999.999.900;10.101.721.810.755.500;56.120.676.726.419.900;3.667.193.528.581.900;10.099.580.192.604.400;56.108.778.847.802.500;3.667.193.528.581.900
Cu;analyte_02;48;6.599.821.675.432.280;1.730.000.000.000.000;10.104.281.645.980.600;5.840.625.228.890.530;38.149.258.239.492.800;10.099.580.192.604.400;5.837.907.625.782.900;38.149.258.239.492.800
Cu;analyte_02;49;6.598.812.951.304.690;16.599.999.999.999.900;10.106.980.438.637.900;6.088.542.432.914.440;39.751.885.248.823.500;10.099.580.192.604.400;6.084.084.453.376.180;39.751.885.248.823.500
Cu;analyte_02;50;6.597.910.116.939.850;16.099.999.999.999.800;101.091.152.957.646;6.278.953.599.853.840;4.098.080.817.975.100;10.099.580.192.604.400;627.303.117.553.077;4.098.080.817.975.100
Cu;analyte_02;51;6.597.102.128.054.960;15.500.000.000.000.100;10.111.343.258.571.800;6.523.447.263.594.670;42.561.949.213.257.500;10.099.580.192.604.400;6.515.858.188.777.010;42.561.949.213.257.500
Cu;analyte_02;52;659.637.934.513.633;1.5;10.113.630.768.154.600;674.242.051.210.308;43.975.862.300.908.800;10.099.580.192.604.400;6.733.053.461.736.290;43.975.862.300.908.800
Cu;analyte_02;53;6.595.733.170.080.480;14.599.999.999.999.900;10.115.806.912.246.600;6.928.634.871.401.870;4.517.625.458.959.250;10.099.580.192.604.400;691.752.067.986.609;4.517.625.458.959.250
Cu;analyte_02;54;659.515.584.648.911;14.299.999.999.999.900;10.117.742.433.559.200;7.075.344.359.132.350;4.611.997.095.446.950;10.099.580.192.604.400;7.062.643.491.331.810;4.611.997.095.446.950
Cu;analyte_02;55;6.594.640.622.335.090;13.999.999.999.999.900;10.119.997.622.654.800;7.228.569.730.467.810;4.710.457.587.382.230;10.099.580.192.604.400;7.213.985.851.860.360;4.710.457.587.382.230
